tragic	-3.20	0.53
ugly	-3.17	0.51
worse	-3.05	0.68
worst	-3.01	0.68
vulgar	-2.96	0.55
shameful	-2.95	0.47
silly	-2.80	0.70
terrible	-2.79	0.71
miserable	-2.70	0.58
fatal	-2.66	0.57
stupid	-2.63	0.67
dreadful	-2.57	0.77
queer	-2.55	0.54
damned	-2.53	0.80
frightful	-2.49	0.73
sick	-2.44	0.60
ignorant	-2.44	0.65
starving	-2.40	0.70
sinful	-2.39	0.62
depressed	-2.39	0.96
helpless	-2.35	0.64
lame	-2.35	0.60
unbearable	-2.33	0.66
filthy	-2.32	0.77
blind	-2.32	0.74
wicked	-2.32	0.70
painful	-2.32	0.61
ghastly	-2.27	0.76
monstrous	-2.27	0.95
ill	-2.23	0.72
insane	-2.22	0.52
forlorn	-2.19	0.61
hideous	-2.17	0.76
pathetic	-2.16	0.57
dumb	-2.15	0.74
shocking	-2.13	0.80
murderous	-2.12	0.73
selfish	-2.12	0.69
uncomfortable	-2.11	0.88
dangerous	-2.09	0.75
goddam	-2.07	0.74
dead	-2.05	0.70
uneasy	-2.01	0.94
weak	-1.98	0.67
awful	-1.98	0.89
hungry	-1.97	0.71
terrifying	-1.96	0.86
unreal	-1.94	0.69
feeble	-1.94	0.70
fearful	-1.93	0.72
appalling	-1.92	0.81
bewildered	-1.91	1.00
rude	-1.91	0.56
wretched	-1.91	0.56
sentimental	-1.91	0.71
sinister	-1.90	0.77
inevitable	-1.90	0.90
lazy	-1.89	0.76
frightened	-1.87	0.86
frustrated	-1.86	0.80
unimportant	-1.86	0.70
homeless	-1.85	0.73
uncertain	-1.83	1.02
worried	-1.82	0.94
corrupt	-1.82	0.80
crazy	-1.81	0.76
horrid	-1.81	0.69
ragged	-1.81	0.80
bloody	-1.80	0.38
restless	-1.78	0.94
vague	-1.78	0.66
needless	-1.76	0.82
brutal	-1.75	0.31
supernatural	-1.73	1.10
cramped	-1.72	0.59
little	-1.72	0.64
nasty	-1.70	0.76
foolish	-1.70	0.20
serious	-1.69	0.72
irrelevant	-1.68	0.93
anxious	-1.68	1.06
puzzled	-1.64	0.99
damn	-1.64	0.96
poorer	-1.63	0.93
arbitrary	-1.61	0.94
grotesque	-1.61	0.83
unfamiliar	-1.60	0.80
alleged	-1.58	0.95
sore	-1.56	0.71
vicious	-1.54	0.67
inadequate	-1.53	0.82
dire	-1.52	0.30
useless	-1.51	0.19
cruel	-1.51	0.24
inconsistent	-1.51	0.86
innumerable	-1.51	0.92
disturbing	-1.50	0.86
meaningless	-1.50	0.22
stricken	-1.50	0.85
inferior	-1.50	0.83
embarrassing	-1.50	0.97
awkward	-1.49	0.36
mortal	-1.47	1.00
imaginary	-1.45	0.76
external	-1.45	1.22
undesirable	-1.44	0.82
secondary	-1.44	1.02
troublesome	-1.43	0.90
intolerable	-1.42	0.30
unnatural	-1.41	0.26
foul	-1.41	0.71
guilty	-1.40	0.64
annoying	-1.40	0.88
dreary	-1.39	0.20
mystical	-1.36	1.12
reckless	-1.36	0.27
conspicuous	-1.35	0.94
preoccupied	-1.35	1.02
superstitious	-1.35	0.20
malicious	-1.34	0.21
absurd	-1.33	0.23
mad	-1.33	0.42
tired	-1.33	0.49
manifest	-1.32	0.99
desolate	-1.31	0.22
sonic	-1.31	0.72
gloomy	-1.31	0.87
surprising	-1.30	0.76
burning	-1.29	0.68
deaf	-1.29	0.33
exclusive	-1.29	1.05
resentful	-1.28	0.60
unsatisfactory	-1.28	0.86
vice	-1.27	0.90
clumsy	-1.27	0.23
rebellious	-1.26	0.92
mystic	-1.26	0.80
irresponsible	-1.26	0.28
probable	-1.25	1.04
outrageous	-1.25	0.27
magical	-1.25	1.13
greedy	-1.25	0.30
elastic	-1.24	0.88
pitiful	-1.23	0.28
smug	-1.23	0.62
immortal	-1.23	1.18
crude	-1.22	0.86
unworthy	-1.22	0.13
utter	-1.21	0.75
nervous	-1.21	0.40
false	-1.21	0.21
frightening	-1.20	0.77
lonesome	-1.20	0.71
unexpected	-1.20	0.89
fake	-1.18	0.29
dizzy	-1.18	0.28
childish	-1.17	0.20
partial	-1.16	0.98
impatient	-1.16	0.63
competitive	-1.16	1.11
dissatisfied	-1.16	0.72
imposing	-1.16	0.82
disgusted	-1.15	0.45
moody	-1.15	0.73
funny	-1.15	0.89
bitter	-1.15	0.23
weary	-1.14	0.40
dirty	-1.14	0.50
ridiculous	-1.12	0.24
terrific	-1.12	0.43
dull	-1.12	0.21
senseless	-1.12	0.18
embarrassed	-1.11	0.65
everlasting	-1.11	1.05
lonely	-1.11	0.90
pertinent	-1.10	1.08
hopeless	-1.10	0.18
impending	-1.09	0.32
varied	-1.09	1.01
weird	-1.08	0.34
disastrous	-1.08	0.26
indignant	-1.08	0.56
shaky	-1.08	0.35
oppressed	-1.08	0.13
phony	-1.07	0.29
deadly	-1.07	0.27
bored	-1.06	0.64
outraged	-1.06	0.56
worthless	-1.06	0.28
wounded	-1.06	0.27
desperate	-1.04	0.22
savage	-1.04	0.22
supposed	-1.03	0.77
arrogant	-1.03	0.20
endless	-1.03	0.12
rotten	-1.02	0.96
unmarried	-1.01	0.94
easiest	-1.01	0.94
scared	-1.01	0.47
preposterous	-1.00	0.27
adverse	-1.00	0.61
dazed	-1.00	0.49
dependent	-1.00	0.31
angry	-0.99	0.56
jealous	-0.99	0.36
grim	-0.98	0.29
shabby	-0.98	0.29
ashamed	-0.98	1.03
fantastic	-0.97	0.31
millicent	-0.95	0.58
sullen	-0.95	0.51
incredible	-0.95	0.38
colored	-0.94	0.99
unfair	-0.92	0.23
worrying	-0.92	0.37
afraid	-0.92	0.83
unreasonable	-0.92	0.18
outer	-0.91	1.16
petty	-0.91	0.20
apprehensive	-0.91	0.48
confusing	-0.90	0.32
tense	-0.90	0.53
colossal	-0.90	0.37
mere	-0.90	0.17
incredulous	-0.89	0.44
accidental	-0.89	0.26
spectacular	-0.89	0.87
commonplace	-0.88	0.22
comic	-0.88	0.81
shocked	-0.87	0.70
extravagant	-0.87	0.18
precious	-0.86	1.07
wrong	-0.86	0.89
drab	-0.85	0.19
unknown	-0.85	0.19
unnecessary	-0.85	0.23
alien	-0.85	0.26
aching	-0.85	0.19
agitated	-0.83	0.50
poisonous	-0.82	0.21
ruthless	-0.82	0.28
trivial	-0.82	0.30
annoyed	-0.82	0.57
marital	-0.82	0.89
lone	-0.82	0.22
explosive	-0.82	0.23
illegal	-0.82	0.21
acute	-0.82	0.23
hysterical	-0.81	0.28
precarious	-0.81	0.91
furious	-0.80	0.29
juvenile	-0.80	0.12
neurotic	-0.80	0.21
blessed	-0.79	1.37
weaker	-0.79	0.29
frantic	-0.79	0.13
