helpless	-3.15	0.47
wretched	-3.10	0.43
miserable	-2.87	0.49
shocking	-2.82	0.59
forlorn	-2.74	0.60
vicious	-2.71	0.57
corrupt	-2.68	0.67
wicked	-2.67	0.40
sinful	-2.67	0.43
desolate	-2.65	0.61
fearful	-2.63	0.67
ignorant	-2.48	0.47
dishonest	-2.48	0.69
dying	-2.44	0.69
sickly	-2.41	0.69
dreadful	-2.40	0.57
wrong	-2.38	0.74
odious	-2.38	0.75
frivolous	-2.37	0.57
weak	-2.37	0.65
hopeless	-2.34	0.61
feeble	-2.32	0.66
infamous	-2.32	0.56
hateful	-2.31	0.40
insignificant	-2.30	0.69
distressing	-2.29	0.80
worse	-2.27	0.85
frightful	-2.27	0.83
terrible	-2.25	0.78
disgraceful	-2.25	0.43
crazy	-2.23	0.68
sick	-2.23	0.71
starving	-2.23	0.65
destitute	-2.22	0.60
blind	-2.18	0.66
foul	-2.13	0.61
terrified	-2.13	0.52
awful	-2.12	0.87
worst	-2.12	0.72
appalling	-2.10	0.75
uncomfortable	-2.09	0.84
improper	-2.08	0.67
disagreeable	-2.07	0.87
silly	-2.07	0.60
terrific	-2.06	0.87
cowardly	-2.04	0.21
oppressive	-2.02	0.65
hideous	-2.01	0.90
bloody	-2.00	0.87
selfish	-2.00	0.28
painful	-1.99	0.84
ghastly	-1.99	0.79
malignant	-1.98	0.70
monstrous	-1.97	0.77
injurious	-1.97	0.72
contemptible	-1.97	0.20
gross	-1.95	0.73
pitiful	-1.95	0.64
vile	-1.93	0.23
ungrateful	-1.91	0.24
lonely	-1.91	0.74
lame	-1.89	0.72
stricken	-1.87	0.70
cruel	-1.86	0.15
hungry	-1.85	0.67
horrid	-1.84	0.77
awkward	-1.84	0.65
alarming	-1.82	0.77
wayward	-1.81	0.56
ominous	-1.80	0.72
penniless	-1.79	0.71
careless	-1.78	0.56
dependent	-1.77	0.77
impertinent	-1.75	0.62
heartless	-1.75	0.25
incomprehensible	-1.75	0.77
startling	-1.74	0.80
sad	-1.73	0.74
lazy	-1.72	0.68
indifferent	-1.72	0.62
palpable	-1.72	0.84
strange	-1.71	0.76
guilty	-1.71	0.34
criminal	-1.70	0.76
destructive	-1.70	0.77
inexperienced	-1.69	0.58
unjust	-1.67	0.27
brutal	-1.66	0.20
depressing	-1.65	0.90
ludicrous	-1.64	0.77
vulgar	-1.64	0.26
bleeding	-1.63	0.32
gloomy	-1.62	0.81
ill	-1.62	0.60
dangerous	-1.61	0.61
harsh	-1.61	0.61
breathless	-1.58	0.70
impending	-1.58	0.72
worthless	-1.58	0.23
unnatural	-1.57	0.22
senseless	-1.56	0.28
grotesque	-1.55	0.79
embarrassing	-1.54	0.99
stupid	-1.54	0.28
foolish	-1.53	0.29
treacherous	-1.53	0.23
shameful	-1.53	0.22
repulsive	-1.51	0.83
dead	-1.51	0.74
weary	-1.50	0.39
sullen	-1.50	0.73
distasteful	-1.49	0.95
tiresome	-1.49	0.76
unkind	-1.48	0.27
thoughtless	-1.48	0.26
disastrous	-1.47	0.81
unworthy	-1.45	0.24
idle	-1.44	0.23
despairing	-1.43	0.38
frail	-1.41	0.82
profane	-1.41	0.19
objectionable	-1.39	0.73
dismal	-1.36	0.34
insane	-1.36	0.20
defective	-1.36	0.78
troublesome	-1.35	0.89
unexpected	-1.35	0.71
merciful	-1.33	0.70
momentous	-1.33	0.78
unaccustomed	-1.32	0.69
powerless	-1.32	0.18
apt	-1.32	0.67
frequent	-1.31	0.79
intolerable	-1.30	0.31
mad	-1.30	0.24
melancholy	-1.29	0.40
unfair	-1.29	0.30
deadly	-1.29	0.32
crushing	-1.29	0.28
wan	-1.29	0.34
restless	-1.29	0.72
dumb	-1.28	0.32
dreary	-1.27	0.44
insolent	-1.27	0.19
tremendous	-1.26	0.39
insensible	-1.26	0.23
